,IMDBid,movieId,movieTitle,releaseDate,Action,Adventure,Animation,Childrens,Comedy,Crime,Documentary,Drama,Fantasy,FilmNoir,Horror,Musical,Mystery,Romance,SciFi,Thriller,War,Western
29,tt0105435,239,Sneakers (1992),01-Jan-92,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
30,tt0105488,709,Strictly Ballroom (1992),01-Jan-92,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
31,tt0105690,233,Under Siege (1992),01-Jan-92,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,tt0105695,203,Unforgiven (1992),01-Jan-92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
33,tt0105729,1354,Venice/Venice (1992),01-Jan-92,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
34,tt0105737,1568,Vermont Is For Lovers (1992),01-Jan-92,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
35,tt0106220,386,Addams Family Values (1993),01-Jan-93,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
36,tt0106226,387,"Age of Innocence, The (1993)",01-Jan-93,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
37,tt0106266,1206,Amos & Andrew (1993),01-Jan-93,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
38,tt0106292,571,Another Stakeout (1993),01-Jan-93,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
39,tt0106308,184,Army of Darkness (1993),01-Jan-93,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
40,tt0106339,1153,Backbeat (1993),01-Jan-93,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
41,tt0106387,747,Benny & Joon (1993),01-Jan-93,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
42,tt0106400,1030,"Beverly Hillbillies, The (1993)",01-Jan-93,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
43,tt0106402,784,Beyond Bedlam (1993),01-Jan-93,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
44,tt0106452,573,Body Snatchers (1993),01-Jan-93,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
45,tt0106471,574,Boxing Helena (1993),01-Jan-93,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
46,tt0106489,467,"Bronx Tale, A (1993)",01-Jan-93,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
47,tt0106505,1146,Calendar Girl (1993),01-Jan-93,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
48,tt0106519,76,Carlito's Way (1993),01-Jan-93,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
49,tt0106582,576,Cliffhanger (1993),01-Jan-93,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
50,tt0106598,577,Coneheads (1993),01-Jan-93,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
51,tt0106611,1035,Cool Runnings (1993),01-Jan-93,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
52,tt0106673,732,Dave (1993),01-Jan-93,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
53,tt0106677,959,Dazed and Confused (1993),01-Jan-93,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
54,tt0106697,578,Demolition Man (1993),01-Jan-93,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
55,tt0106873,579,Fatal Instinct (1993),01-Jan-93,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
56,tt0106880,390,Fear of a Black Hat (1993),01-Jan-93,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
57,tt0106881,1045,Fearless (1993),01-Jan-93,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
58,tt0106918,77,"Firm, The (1993)",01-Jan-93,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
59,tt0106926,1212,Flesh and Bone (1993),01-Jan-93,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
60,tt0106941,1249,For Love or Money (1993),01-Jan-93,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
61,tt0106965,78,Free Willy (1993),01-Jan-93,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
62,tt0106966,1195,Strawberry and Chocolate (Fresa y chocolate) (1993),01-Jan-93,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
63,tt0106977,79,"Fugitive, The (1993)",01-Jan-93,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
64,tt0107004,1004,Geronimo: An American Legend (1993),01-Jan-93,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
65,tt0107048,202,Groundhog Day (1993),01-Jan-93,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
66,tt0107057,1213,Guilty as Sin (1993),01-Jan-93,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
67,tt0107076,802,Hard Target (1993),01-Jan-93,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
68,tt0107096,803,Heaven & Earth (1993),01-Jan-93,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
69,tt0107131,140,Homeward Bound: The Incredible Journey (1993),01-Jan-93,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,tt0107144,80,Hot Shots! Part Deux (1993),01-Jan-93,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
71,tt0107151,704,"House of the Spirits, The (1993)",01-Jan-93,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
72,tt0107206,684,In the Line of Fire (1993),01-Jan-93,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
73,tt0107207,317,In the Name of the Father (1993),01-Jan-93,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
74,tt0107274,1365,Johnny 100 Pesos (1993),01-Jan-93,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
75,tt0107286,1222,Judgment Night (1993),01-Jan-93,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,tt0107290,82,Jurassic Park (1993),01-Jan-93,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
77,tt0107302,581,Kalifornia (1993),01-Jan-93,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
78,tt0107315,1672,Kika (1993),01-Jan-93,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
79,tt0107322,1223,King of the Hill (1993),01-Jan-93,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
80,tt0107349,1631,"Slingshot, The (1993)",01-Jan-93,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
81,tt0107362,391,Last Action Hero (1993),01-Jan-93,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
82,tt0107413,1270,Life with Mikey (1993),01-Jan-93,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
83,tt0107426,1168,Little Buddha (1993),01-Jan-93,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
84,tt0107472,701,"Wonderful, Horrible Life of Leni Riefenstahl, The (1993)",01-Jan-93,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
85,tt0107478,734,Made in America (1993),01-Jan-93,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
86,tt0107497,1046,Malice (1993),01-Jan-93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
87,tt0107501,392,"Man Without a Face, The (1993)",01-Jan-93,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
88,tt0107507,805,Manhattan Murder Mystery (1993),01-Jan-93,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
89,tt0107554,806,Menace II Society (1993),01-Jan-93,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
90,tt0107614,393,Mrs. Doubtfire (1993),01-Jan-93,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
91,tt0107616,83,Much Ado About Nothing (1993),01-Jan-93,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
92,tt0107653,960,Naked (1993),01-Jan-93,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
93,tt0107688,91,"Nightmare Before Christmas, The (1993)",01-Jan-93,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
94,tt0107727,1562,"Eye of Vichy, The (Oeil de Vichy, L') (1993)",01-Jan-93,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
95,tt0107756,961,Orlando (1993),01-Jan-93,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
96,tt0107779,1622,"Paris, France (1993)",01-Jan-93,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
97,tt0107808,686,"Perfect World, A (1993)",01-Jan-93,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
98,tt0107818,735,Philadelphia (1993),01-Jan-93,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
99,tt0107822,582,"Piano, The (1993)",01-Jan-93,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
100,tt0107840,807,Poetic Justice (1993),01-Jan-93,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
101,tt0107889,808,"Program, The (1993)",01-Jan-93,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
102,tt0107943,86,"Remains of the Day, The (1993)",01-Jan-93,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
103,tt0107969,809,Rising Sun (1993),01-Jan-93,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
104,tt0107977,395,Robin Hood: Men in Tights (1993),01-Jan-93,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
105,tt0107978,1274,Robocop 3 (1993),01-Jan-93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
106,tt0107983,583,Romeo Is Bleeding (1993),01-Jan-93,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
107,tt0108000,962,Ruby in Paradise (1993),01-Jan-93,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
108,tt0108002,468,Rudy (1993),01-Jan-93,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
109,tt0108052,318,Schindler's List (1993),01-Jan-93,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
110,tt0108065,87,Searching for Bobby Fischer (1993),01-Jan-93,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
111,tt0108069,1555,"Secret Adventures of Tom Thumb, The (1993)",01-Jan-93,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,tt0108071,584,"Secret Garden, The (1993)",01-Jan-93,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
113,tt0108101,736,Shadowlands (1993),01-Jan-93,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
114,tt0108122,469,Short Cuts (1993),01-Jan-93,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
115,tt0108149,1101,Six Degrees of Separation (1993),01-Jan-93,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
116,tt0108160,88,Sleepless in Seattle (1993),01-Jan-93,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
117,tt0108174,90,So I Married an Axe Murderer (1993),01-Jan-93,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
118,tt0108186,585,Son in Law (1993),01-Jan-93,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
119,tt0108211,593,Stalingrad (1993),01-Jan-93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
120,tt0108220,1339,Stefano Quantestorie (1993),01-Jan-93,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
121,tt0108238,397,Striking Distance (1993),01-Jan-93,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,tt0108255,398,Super Mario Bros. (1993),01-Jan-93,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
123,tt0108328,811,Thirty-Two Short Films About Glenn Gould (1993),01-Jan-93,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
124,tt0108333,399,"Three Musketeers, The (1993)",01-Jan-93,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
125,tt0108358,470,Tombstone (1993),01-Jan-93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
126,tt0108394,60,Three Colors: Blue (1993),01-Jan-93,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
127,tt0108399,92,True Romance (1993),01-Jan-93,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
128,tt0108515,1141,"War Room, The (1993)",01-Jan-93,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
129,tt0108550,65,What's Eating Gilbert Grape (1993),01-Jan-93,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
130,tt0108551,942,What's Love Got to Do with It (1993),01-Jan-93,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
131,tt0109001,1353,1-900 (1994),01-Jan-94,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
132,tt0109028,1633,Á köldum klaka (Cold Fever) (1994) ? 95,08-Mar-96,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
133,tt0109040,67,Ace Ventura: Pet Detective (1994),01-Jan-94,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
134,tt0109045,382,"Adventures of Priscilla, Queen of the Desert, The (1994)",01-Jan-94,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
135,tt0109067,801,"Air Up There, The (1994)",01-Jan-94,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
136,tt0109068,940,Airheads (1994),01-Jan-94,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
137,tt0109093,1069,Amateur (1994),01-Jan-94,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
138,tt0109120,812,Andre (1994),01-Jan-94,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,tt0109191,1308,Babyfever (1994),01-Jan-94,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
140,tt0109198,1247,Bad Girls (1994),01-Jan-94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
141,tt0109219,702,Barcelona (1994),01-Jan-94,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
142,tt0109254,388,Beverly Hills Cop III (1994),01-Jan-94,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
143,tt0109255,1202,"Maybe, Maybe Not (Bewegte Mann, Der) (1994)",19-Jul-96,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
144,tt0109279,389,Black Beauty (1994),01-Jan-94,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,tt0109297,1248,Blink (1994),01-Jan-94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
146,tt0109303,572,Blown Away (1994),01-Jan-94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
147,tt0109305,1145,Blue Chips (1994),01-Jan-94,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
148,tt0109306,1211,Blue Sky (1994),01-Jan-94,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
149,tt0109339,75,Brother Minister: The Assassination of Malcolm X (1994),01-Jan-94,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
150,tt0109340,698,"Browning Version, The (1994)",01-Jan-94,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
151,tt0109348,792,Bullets Over Broadway (1994),01-Jan-94,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
152,tt0109361,998,Cabin Boy (1994),01-Jan-94,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
153,tt0109374,1327,Captives (1994),16-Sep-94,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
154,tt0109424,1129,Chungking Express (1994),16-Feb-96,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
155,tt0109439,575,City Slickers II: The Legend of Curly's Gold (1994),01-Jan-94,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
156,tt0109443,999,Clean Slate (1994),01-Jan-94,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
157,tt0109444,566,Clear and Present Danger (1994),01-Jan-94,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
158,tt0109445,42,Clerks (1994),01-Jan-94,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
159,tt0109446,356,"Client, The (1994)",01-Jan-94,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
160,tt0109450,1112,Cobb (1994),01-Jan-94,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
161,tt0109456,1273,Color of Night (1994),01-Jan-94,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
162,tt0109480,1182,Cops and Robbersons (1994),01-Jan-94,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
163,tt0109484,731,"Corrina, Corrina (1994)",01-Jan-94,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
164,tt0109485,1080,Celestial Clockwork (1994),12-Jul-96,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
165,tt0109491,1290,Country Life (1994),01-Jan-94,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
166,tt0109493,1183,"Cowboy Way, The (1994)",01-Jan-94,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
167,tt0109504,793,Crooklyn (1994),01-Jan-94,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
168,tt0109506,68,"Crow, The (1994)",01-Jan-94,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
169,tt0109508,32,Crumb (1994),01-Jan-94,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
170,tt0109579,1109,Death and the Maiden (1994),01-Jan-94,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
171,tt0109592,1199,Cemetery Man (Dellamorte Dellamore) (1994),12-Apr-96,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
172,tt0109635,43,Disclosure (1994),01-Jan-94,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
173,tt0109642,44,Dolores Claiborne (1994),01-Jan-94,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
174,tt0109655,1111,Double Happiness (1994),01-Mar-96,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
175,tt0109676,779,Drop Zone (1994),01-Jan-94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,tt0109686,780,Dumb & Dumber (1994),01-Jan-94,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
177,tt0109707,47,Ed Wood (1994),01-Jan-94,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
178,tt0109729,1184,"Endless Summer 2, The (1994)",01-Jan-94,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
179,tt0109758,725,Exit to Eden (1994),01-Jan-94,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
180,tt0109759,46,Exotica (1994),01-Jan-94,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
181,tt0109783,1655,"Favor, The (1994)",01-Jan-94,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
182,tt0109813,383,"Flintstones, The (1994)",01-Jan-94,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
183,tt0109823,1357,For the Moment (1994),01-Jan-94,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
184,tt0109830,69,Forrest Gump (1994),01-Jan-94,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
185,tt0109831,70,Four Weddings and a Funeral (1994),01-Jan-94,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
186,tt0109836,561,Mary Shelley's Frankenstein (1994),01-Jan-94,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
187,tt0109842,1169,Fresh (1994),01-Jan-94,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
188,tt0109890,1303,"Getaway, The (1994)",01-Jan-94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,tt0109913,733,Go Fish (1994),01-Jan-94,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
190,tt0109934,814,"Great Day in Harlem, A (1994)",01-Jan-94,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
191,tt0109949,1600,Guantanamera (1994) ? 95,16-May-97,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
192,tt0110005,558,Heavenly Creatures (1994),01-Jan-94,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
193,tt0110006,377,Heavyweights (1995),01-Jan-94,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
194,tt0110057,48,Hoop Dreams (1994),01-Jan-94,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
195,tt0110066,376,Houseguest (1995),01-Jan-94,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
196,tt0110074,81,"Hudsucker Proxy, The (1994)",01-Jan-94,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
197,tt0110093,1180,I Love Trouble (1994),01-Jan-94,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
198,tt0110099,49,I.Q. (1994),01-Jan-94,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
199,tt0110116,727,Immortal Beloved (1994),01-Jan-94,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
200,tt0110123,1185,In the Army Now (1994),01-Jan-94,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
201,tt0110137,1186,"Inkwell, The (1994)",01-Jan-94,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
202,tt0110148,559,Interview with the Vampire (1994),01-Jan-94,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
203,tt0110167,794,It Could Happen to You (1994),01-Jan-94,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
204,tt0110171,1370,I Can't Sleep (J'ai pas sommeil) (1994),01-Jan-94,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
205,tt0110173,1366,JLG/JLG - autoportrait de décembre (1994),01-Jan-94,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
